Date,Open,High,Low,Close,Adj Close,Volume
2015-11-10,855.799988,899.5,849.0,877.25,839.678345,27351793
2015-11-13,918.0,1032.0,917.0,1004.099976,961.09552,8446622
2015-11-16,1011.0,1040.0,966.25,988.950012,946.59436,3358159
2015-11-17,990.0,1049.900024,976.200012,1036.900024,992.490784,3694092
2015-11-18,1017.25,1068.800049,1015.299988,1045.650024,1000.866028,3621593
2015-11-19,1055.0,1166.699951,1052.0,1143.800049,1094.812378,4320971
2015-11-20,1156.0,1162.900024,1088.199951,1105.400024,1058.057007,3636764
2015-11-23,1100.0,1124.800049,1031.199951,1046.849976,1002.014526,2115930
2015-11-24,1049.949951,1099.0,1032.349976,1089.800049,1043.125122,2080065
2015-11-26,1089.800049,1114.0,1062.099976,1088.199951,1041.593506,1278254
2015-11-27,1093.300049,1109.800049,1071.550049,1090.5,1043.795044,830213
2015-11-30,1093.800049,1122.0,1081.550049,1109.0,1061.502808,953967
2015-12-01,1112.949951,1115.0,1085.75,1093.25,1046.427368,566179
2015-12-02,1092.0,1124.900024,1062.0,1099.199951,1052.122437,1820435
2015-12-03,1096.0,1144.449951,1091.0,1113.699951,1066.001465,2008650
2015-12-04,1103.0,1122.0,1071.699951,1079.699951,1033.45752,738821
2015-12-07,1050.0,1085.5,1032.199951,1044.550049,999.81311,1975506
2015-12-08,1050.699951,1068.400024,1010.0,1018.099976,974.495911,1221937
2015-12-09,1021.0,1047.800049,995.450012,1012.75,969.375061,1037663
2015-12-10,1021.950012,1029.0,982.0,999.849976,957.027527,1524682
2015-12-11,1014.0,1043.699951,1005.0,1035.0,990.672119,1853964
2015-12-14,1033.0,1103.900024,1025.800049,1093.050049,1046.235962,1875740
2015-12-15,1094.800049,1196.900024,1085.0,1185.449951,1134.678467,3012286
2015-12-16,1192.0,1234.0,1182.550049,1192.699951,1141.618042,2239135
2015-12-17,1203.900024,1231.75,1180.099976,1190.849976,1139.847168,1460277
2015-12-18,1194.449951,1206.199951,1126.0,1139.25,1090.457153,1615029
2015-12-21,1136.099976,1156.5,1077.400024,1082.0,1035.65918,1692348
2015-12-22,1098.400024,1179.400024,1097.5,1164.75,1114.86499,2866202
2015-12-23,1172.0,1187.949951,1140.0,1183.050049,1132.381348,1833276
2015-12-24,1185.0,1192.0,1152.0,1164.449951,1114.577881,959214
2015-12-28,1164.449951,1208.0,1145.599976,1194.150024,1143.005981,1752379
2015-12-29,1198.0,1207.5,1175.800049,1186.449951,1135.63562,1051880
2015-12-30,1190.400024,1202.300049,1176.5,1193.25,1142.144409,735717
